DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/09/2016,11:30,BROOKLYN,11228,40.620125,-74.0147832,"(40.620125, -74.0147832)",80 STREET                       ,11 AVENUE                       ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459319,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,12:09,BROOKLYN,11220,40.6326333,-74.0125342,"(40.6326333, -74.0125342)",65 STREET                       ,8 AVENUE                        ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459324,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,
06/09/2016,15:47,BROOKLYN,11220,40.6377942,-74.0250919,"(40.6377942, -74.0250919)",67 STREET                       ,3 AVENUE                        ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459325,VAN,PASSENGER VEHICLE,,,
06/09/2016,17:20,BROOKLYN,11209,40.6344551,-74.0308625,"(40.6344551, -74.0308625)",                                ,                                ,169 72 STREET                           ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459326,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,17:55,BROOKLYN,11220,40.6323333,-74.0185292,"(40.6323333, -74.0185292)",BAY RIDGE AVENUE                ,6 AVENUE                        ,                                        ,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3459327,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,18:06,BROOKLYN,11209,40.6314641,-74.0277916,"(40.6314641, -74.0277916)",3 AVENUE                        ,BAY RIDGE PARKWAY               ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459328,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,,,
06/09/2016,18:10,BROOKLYN,11228,40.6288205,-74.0153651,"(40.6288205, -74.0153651)",                                ,                                ,819 71 STREET                           ,0,0,0,0,0,0,0,0,Unspecified,,,,,3459329,PASSENGER VEHICLE,,,,
06/09/2016,9:00,BROOKLYN,11236,40.6332894,-73.9121338,"(40.6332894, -73.9121338)",EAST 79 STREET                  ,PAERDEGAT 1 STREET              ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459332,PASSENGER VEHICLE,OTHER,,,
06/09/2016,16:15,BROOKLYN,11236,40.629687,-73.9005127,"(40.629687, -73.9005127)",EAST 85 STREET                  ,AVENUE N                        ,                                        ,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3459334,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,15:11,BROOKLYN,11236,40.63874,-73.8951918,"(40.63874, -73.8951918)",AVENUE L                        ,ROCKAWAY PARKWAY                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,,,,,3459335,PASSENGER VEHICLE,,,,
06/09/2016,22:15,BROOKLYN,11236,40.6432857,-73.8925037,"(40.6432857, -73.8925037)",EAST 103 STREET                 ,AVENUE K                        ,                                        ,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,3459336,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,13:00,BROOKLYN,11210,40.6291662,-73.947326,"(40.6291662, -73.947326)",NOSTRAND AVENUE                 ,AVENUE I                        ,                                        ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3459338,MOTORCYCLE,PASSENGER VEHICLE,,,
06/09/2016,14:47,BROOKLYN,11226,40.6399487,-73.9561274,"(40.6399487, -73.9561274)",                                ,                                ,415 EAST 23 STREET                      ,0,0,0,0,0,0,0,0,Unspecified,,,,,3459339,PASSENGER VEHICLE,,,,
06/09/2016,17:00,BROOKLYN,11230,40.6208177,-73.9566911,"(40.6208177, -73.9566911)",AVENUE L                        ,EAST 19 STREET                  ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3459340,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/09/2016,18:00,BROOKLYN,11226,40.6489168,-73.958363,"(40.6489168, -73.958363)",                                ,                                ,928 FLATBUSH AVENUE                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459341,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,18:05,BROOKLYN,11210,40.6136195,-73.9530471,"(40.6136195, -73.9530471)",AVENUE O                        ,EAST 21 STREET                  ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459342,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,18:30,BROOKLYN,11230,40.6275718,-73.9618455,"(40.6275718, -73.9618455)",EAST 15 STREET                  ,AVENUE I                        ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459343,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,2:00,BROOKLYN,11203,40.6631474,-73.9378375,"(40.6631474, -73.9378375)",                                ,                                ,706 LEFFERTS AVENUE                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459350,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,8:05,BROOKLYN,11225,40.6587246,-73.9605049,"(40.6587246, -73.9605049)",                                ,                                ,599 FLATBUSH AVENUE                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459351,OTHER,PASSENGER VEHICLE,,,
06/09/2016,12:00,BROOKLYN,11213,40.6669165,-73.9292729,"(40.6669165, -73.9292729)",                                ,                                ,1745 PRESIDENT STREET                   ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459352,VAN,PASSENGER VEHICLE,,,
06/09/2016,12:20,BROOKLYN,11213,40.6676238,-73.9423608,"(40.6676238, -73.9423608)",KINGSTON AVENUE                 ,PRESIDENT STREET                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459353,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,6:55,BROOKLYN,11220,40.6448799,-74.0174913,"(40.6448799, -74.0174913)",GOWANUS EXPRESSWAY              ,55 STREET                       ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459362,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,7:50,,,40.6676829,-73.9960674,"(40.6676829, -73.9960674)",                                ,                                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459363,PASSENGER VEHICLE,,,,
06/09/2016,9:36,BROOKLYN,11220,40.6354937,-74.0095587,"(40.6354937, -74.0095587)",60 STREET                       ,8 AVENUE                        ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459364,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,12:18,BROOKLYN,11215,40.6703473,-73.9974153,"(40.6703473, -73.9974153)",HAMILTON AVENUE                 ,14 STREET                       ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459366,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,
06/09/2016,13:00,BROOKLYN,11215,40.6588095,-73.9817158,"(40.6588095, -73.9817158)",PROSPECT PARK WEST              ,PROSPECT AVENUE                 ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459367,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,14:30,BROOKLYN,11232,40.6544301,-74.0075648,"(40.6544301, -74.0075648)",3 AVENUE                        ,38 STREET                       ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459370,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,2:30,BROOKLYN,11220,40.6417459,-74.0138151,"(40.6417459, -74.0138151)",56 STREET                       ,5 AVENUE                        ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3459371,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
06/09/2016,8:27,BROOKLYN,11233,40.6730798,-73.9112306,"(40.6730798, -73.9112306)",EASTERN PARKWAY                 ,ROCKAWAY AVENUE                 ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459376,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
